ORF,Chr,ORF Start,ORF End,Strand,TSS,TTS,+1 nucleosome,-1 nucleosome,NDR Center,NDR Width
YDR378C,chrIV,1229609,1229349,-1,1229627,1229185,1229565,1229836,1229701,124
YDR379W,chrIV,1230167,1233196,1,1230033,1233279,1230096,1229836,1229966,113
YDR379C-A,chrIV,1233517,1233278,-1,1233547,1233144,1233476,1233730,1233603,107
YDR380W,chrIV,1234218,1236125,1,1234113,1236250,1234077,1233730,1233904,200
YDR381W,chrIV,1236558,1238004,1,1236461,1238196,1236548,1236166,1236357,235
YDR381C-A,chrIV,1238850,1238312,-1,1239081,1238203,1238808,1239085,1238947,130
YDR382W,chrIV,1239492,1239824,1,1239411,1239969,1239442,1239085,1239264,210
YDR383C,chrIV,1240676,1239960,-1,1240698,1239898,1240623,1240865,1240744,95
YDR384C,chrIV,1242031,1241204,-1,1242116,1241043,1242124,1242615,1242370,344
YDR385W,chrIV,1243230,1245758,1,1243184,1245910,1243208,1242615,1242912,446
YDR386W,chrIV,1246084,1247982,1,1246076,1248091,1246131,1245871,1246001,113
YDR388W,chrIV,1250186,1251634,1,1250160,1251755,1250179,1249916,1250048,116
YDR389W,chrIV,1252537,1254501,1,1252015,1254756,1252076,1251638,1251857,291
YDR390C,chrIV,1256847,1254937,-1,1256876,1254852,1256830,1257227,1257029,250
YDR392W,chrIV,1258696,1259709,1,1258626,1259839,1258690,1258426,1258558,117
YDR393W,chrIV,1259901,1261271,1,1259901,1261437,1259868,1259634,1259751,87
YDR394W,chrIV,1261681,1262967,1,1261577,1263062,1261632,1261340,1261486,145
YDR395W,chrIV,1263324,1266158,1,1263202,1266251,1263246,1262947,1263097,152
YDR397C,chrIV,1266898,1266366,-1,1266948,1266195,1266866,1267160,1267013,147
YDR398W,chrIV,1267471,1269402,1,1267435,1269508,1267462,1267160,1267311,155
YDR399W,chrIV,1270068,1270733,1,1269999,1270846,1269949,1269652,1269801,150
YDR400W,chrIV,1271063,1272085,1,1271043,1272254,1271065,1270788,1270927,130
YDR402C,chrIV,1273703,1272234,-1,1273703,1272191,1273904,1274184,1274044,133
YDR403W,chrIV,1274602,1276212,1,1274602,1276442,1274184,1273904,1274044,133
YDR404C,chrIV,1277169,1276654,-1,1277361,1276506,1277313,1277638,1277476,178
YDR405W,chrIV,1277646,1278437,1,1277593,1278578,1277638,1277313,1277476,178
YDR406W,chrIV,1279210,1283799,1,1279089,1283913,1279023,1278620,1278822,256
YDR407C,chrIV,1287938,1284069,-1,1288018,1284000,1287987,1288279,1288133,145
YDR408C,chrIV,1288859,1288215,-1,1288920,1288045,1288881,1289151,1289016,123
YDR409W,chrIV,1289406,1292120,1,1289367,1292452,1289420,1289151,1289286,122
YDR410C,chrIV,1293091,1292372,-1,1293154,1292300,1293117,1293397,1293257,133
YDR411C,chrIV,1294394,1293369,-1,1294416,1293305,1294393,1294687,1294540,147
YDR412W,chrIV,1294693,1295400,1,1294644,1295551,1294687,1294393,1294540,147
YDR414C,chrIV,1296686,1295598,-1,1296863,1295440,1296808,1297050,1296929,95
YDR416W,chrIV,1298432,1301011,1,1298336,1301043,1298403,1298148,1298276,108
YDR418W,chrIV,1301616,1302113,1,1301590,1302214,1301629,1301234,1301432,248
YDR419W,chrIV,1303174,1305072,1,1303168,1305429,1303217,1302954,1303086,116
YDR420W,chrIV,1306267,1311675,1,1306000,1311862,1306043,1305491,1305767,405
YDR421W,chrIV,1312040,1314892,1,1311950,1315162,1312018,1311748,1311883,123
YDR422C,chrIV,1317773,1315326,-1,1317829,1315270,1317832,1318103,1317968,124
YDR423C,chrIV,1319275,1318046,-1,1319247,1317977,1319200,1319486,1319343,139
YDR424C,chrIV,1319841,1319387,-1,1319867,1319344,1319816,1320055,1319936,92
YDR425W,chrIV,1320064,1321941,1,1320014,1321941,1320055,1319816,1319936,92
YDR427W,chrIV,1322205,1323386,1,1322173,1323468,1322231,1321957,1322094,127
YDR428C,chrIV,1324239,1323454,-1,1324267,1323347,1324209,1324459,1324334,103
YDR429C,chrIV,1325301,1324477,-1,1325319,1324352,1325269,1325535,1325402,119
YDR430C,chrIV,1328470,1325501,-1,1328527,1325450,1328508,1328824,1328666,169
YDR432W,chrIV,1328783,1330027,1,1328755,1330135,1328824,1328508,1328666,169
YDR434W,chrIV,1331237,1332841,1,1331141,1332956,1331186,1330944,1331065,95
YDR435C,chrIV,1333969,1332983,-1,1333981,1332857,1333925,1334195,1334060,123
YDR436W,chrIV,1334821,1336953,1,1334576,1337115,1334603,1334371,1334487,85
YDR437W,chrIV,1337352,1337774,1,1337293,1337774,1337312,1337049,1337181,116
YDR438W,chrIV,1338274,1339386,1,1338211,1339486,1338276,1338069,1338173,60
YDR439W,chrIV,1339676,1340719,1,1339624,1340910,1339654,1339400,1339527,107
YDR440W,chrIV,1342493,1344241,1,1342398,1344328,1342448,1342187,1342318,114
YDR441C,chrIV,1345062,1344517,-1,1345211,1344352,1345202,1345682,1345442,333
YDR443C,chrIV,1349938,1345676,-1,1350027,1345342,1349966,1350264,1350115,151
YDR446W,chrIV,1353725,1354633,1,1353709,1354633,1353759,1353505,1353632,107
YDR447C,chrIV,1355553,1354829,-1,1355574,1354711,1355545,1356037,1355791,345
YDR448W,chrIV,1356065,1357369,1,1356012,1357598,1356037,1355545,1355791,345
YDR449C,chrIV,1358902,1357580,-1,1358931,1357522,1358893,1359187,1359040,147
YDR450W,chrIV,1359923,1360798,1,1359902,1360915,1359903,1359398,1359651,358
YDR451C,chrIV,1362181,1361120,-1,1362234,1360908,1362302,1362773,1362538,324
YDR452W,chrIV,1362878,1364902,1,1362740,1365090,1362773,1362302,1362538,324
YDR453C,chrIV,1365662,1365072,-1,1365401,1364988,1365356,1365629,1365493,126
YDR454C,chrIV,1366827,1366264,-1,1366864,1366161,1366824,1367057,1366941,86
YDR456W,chrIV,1367485,1369386,1,1367457,1369492,1367492,1367228,1367360,117
YDR457W,chrIV,1369790,1379596,1,1369676,1379652,1369725,1369447,1369586,131
YDR458C,chrIV,1382046,1380055,-1,1382095,1379881,1382028,1382302,1382165,127
YDR459C,chrIV,1383443,1382319,-1,1383539,1382152,1383487,1383736,1383612,102
YDR460W,chrIV,1383811,1384776,1,1383671,1384877,1383736,1383487,1383612,102
YDR461W,chrIV,1385176,1385286,1,1385153,1385432,1385114,1384810,1384962,157
YDR462W,chrIV,1386073,1386516,1,1386019,1386639,1386068,1385767,1385918,154
YDR463W,chrIV,1386816,1388375,1,1386788,1388578,1386829,1386527,1386678,155
YDR464W,chrIV,1388872,1393179,1,1388781,1393337,1388809,1388501,1388655,161
YDR465C,chrIV,1394574,1393336,-1,1394617,1393200,1394581,1394804,1394693,76
YDR466W,chrIV,1395121,1397817,1,1395007,1398050,1395061,1394804,1394933,110
YDR468C,chrIV,1398700,1398026,-1,1398752,1397903,1398774,1399044,1398909,123
YDR469W,chrIV,1399015,1399542,1,1399014,1399607,1399044,1398774,1398909,123
YDR470C,chrIV,1401214,1399706,-1,1401299,1399534,1401258,1401774,1401516,369
YDR471W,chrIV,1401770,1402564,1,1401745,1402681,1401816,1401258,1401537,411
YDR472W,chrIV,1403322,1404173,1,1403252,1404297,1403339,1402963,1403151,229
YDR473C,chrIV,1405854,1404445,-1,1405925,1404207,1405877,1406129,1406003,105
YDR475C,chrIV,1410094,1407464,-1,1410094,1407402,1410082,1410310,1410196,81
YDR477W,chrIV,1412373,1414274,1,1412079,1414402,1412123,1411867,1411995,109
YDR478W,chrIV,1414575,1415171,1,1414538,1415237,1414599,1414325,1414462,127
YDR479C,chrIV,1416874,1415210,-1,1416922,1415126,1416860,1417118,1416989,111
YDR480W,chrIV,1417399,1418370,1,1417325,1418524,1417355,1417118,1417237,90
YDR481C,chrIV,1420250,1418550,-1,1420283,1418440,1420267,1420531,1420399,117
YDR482C,chrIV,1420838,1420431,-1,1420875,1420331,1420880,1421153,1421017,126
YDR483W,chrIV,1421157,1422485,1,1421131,1422613,1421153,1420880,1421017,126
YDR484W,chrIV,1422763,1424688,1,1422714,1424821,1422776,1422553,1422665,76
YDR485C,chrIV,1427207,1424820,-1,1427234,1424563,1427187,1427431,1427309,97
YDR486C,chrIV,1428120,1427431,-1,1428129,1427303,1428095,1428342,1428219,100
YDR487C,chrIV,1428980,1428354,-1,1429059,1428259,1428970,1429534,1429252,417
YDR488C,chrIV,1430789,1429188,-1,1430838,1429021,1430751,1431048,1430900,150
YDR489W,chrIV,1431012,1431896,1,1431003,1431976,1431048,1430751,1430900,150
YDR490C,chrIV,1434268,1431968,-1,1434353,1431800,1434298,1434755,1434527,310
YDR492W,chrIV,1434924,1435874,1,1434770,1435966,1434755,1434298,1434527,310
YDR493W,chrIV,1436217,1436588,1,1436129,1436708,1436172,1435931,1436052,94
YDR494W,chrIV,1436930,1438015,1,1436866,1438092,1436952,1436666,1436809,139
YDR495C,chrIV,1441150,1438115,-1,1441195,1437922,1441167,1441444,1441306,130
YDR496C,chrIV,1443403,1441433,-1,1443431,1441359,1443391,1443683,1443537,145
YDR497C,chrIV,1445467,1443713,-1,1445542,1443629,1445526,1445833,1445680,160
YDR498C,chrIV,1446994,1445843,-1,1447037,1445770,1446985,1447245,1447115,113
YDR499W,chrIV,1447830,1450073,1,1447791,1450193,1447854,1447609,1447732,98
YDR500C,chrIV,1450853,1450198,-1,1450901,1450108,1450836,1451257,1451047,274
YDR501W,chrIV,1451353,1452918,1,1451329,1453098,1451257,1450836,1451047,274
YDR502C,chrIV,1454464,1453310,-1,1454512,1453017,1454556,1454913,1454735,210
YDR503C,chrIV,1455866,1455042,-1,1455949,1454883,1455877,1456138,1456008,114
YDR505C,chrIV,1459220,1456695,-1,1459409,1456401,1459382,1459812,1459597,283
YDR507C,chrIV,1465786,1462358,-1,1465911,1462177,1465906,1466215,1466061,162
YDR508C,chrIV,1468444,1466453,-1,1468488,1466239,1468441,1469357,1468899,769
YDR510W,chrIV,1469400,1469705,1,1469315,1469834,1469357,1468385,1468871,825
YDR511W,chrIV,1470017,1470418,1,1470032,1470501,1470037,1469820,1469929,70
YDR512C,chrIV,1471063,1470500,-1,1470809,1470397,1470740,1471061,1470901,174
YDR513W,chrIV,1471017,1471448,1,1470995,1471530,1471061,1470740,1470901,174
YDR515W,chrIV,1473429,1474772,1,1473213,1474847,1473243,1472998,1473121,98
YDR516C,chrIV,1476476,1474974,-1,1476476,1474856,1476650,1476927,1476789,130
YDR517W,chrIV,1477239,1478357,1,1477145,1478460,1477200,1476927,1477064,126
YDR518W,chrIV,1478608,1480161,1,1478583,1480211,1478613,1478324,1478469,142
YDR519W,chrIV,1480425,1480832,1,1480417,1481040,1480419,1480135,1480277,137
YDR522C,chrIV,1485303,1483795,-1,1485303,1483795,1485238,1485498,1485368,113
YDR523C,chrIV,1487038,1485566,-1,1487038,1485566,1487316,1487614,1487465,151
YDR524C,chrIV,1488990,1487542,-1,1489057,1487271,1488977,1489393,1489185,269
YDR525W-A,chrIV,1490596,1490835,1,1490510,1491062,1490602,1489758,1490180,697
YDR527W,chrIV,1491094,1492413,1,1491013,1492491,1491087,1490750,1490919,190
YDR528W,chrIV,1494586,1495857,1,1494279,1495980,1494284,1493971,1494128,166
YDR529C,chrIV,1496548,1496165,-1,1496585,1495975,1496539,1496850,1496695,164
YDR530C,chrIV,1497768,1496791,-1,1497773,1496638,1497739,1497950,1497845,64
YDR531W,chrIV,1498232,1499335,1,1498141,1499408,1498232,1497950,1498091,135
YDR532C,chrIV,1500553,1499396,-1,1500588,1499334,1500498,1500765,1500632,120
YDR533C,chrIV,1502160,1501447,-1,1502199,1501380,1502629,1502890,1502760,114
YDR536W,chrIV,1508005,1509714,1,1508005,1509860,1507695,1507266,1507481,282
YDR538W,chrIV,1510902,1511630,1,1510852,1511853,1510878,1510615,1510747,116
YDR539W,chrIV,1512094,1513605,1,1512062,1513665,1512077,1511751,1511914,179
YDR540C,chrIV,1517675,1517136,-1,1517758,1516827,1518053,1518294,1518174,94
YDR542W,chrIV,1523249,1523611,1,1523249,1523611,1523372,1523082,1523227,143
YEL072W,chrV,13720,14415,1,13600,14745,13643,13310,13477,186
YEL071W,chrV,16355,17845,1,16342,17967,16219,15919,16069,153
YEL069C,chrV,23231,21537,-1,23231,21537,23454,23876,23665,275
YEL066W,chrV,26667,27206,1,26702,27283,26716,26472,26594,97
YEL065W,chrV,27657,29543,1,27637,29620,27477,27222,27350,108
YEL064C,chrV,31239,29797,-1,31284,29688,31230,31521,31376,144
YEL063C,chrV,33466,31694,-1,33685,31414,33664,34066,33865,255
YEL062W,chrV,34407,36254,1,34407,36401,34446,34230,34338,69
YEL061C,chrV,39537,36535,-1,39670,36273,39620,39908,39764,141
YEL060C,chrV,41953,40046,-1,42008,39895,41961,42446,42204,338
YEL059C-A,chrV,42624,42400,-1,42701,42364,42628,42884,42756,109
YEL058W,chrV,43252,44925,1,43214,44999,43282,43029,43156,106
YEL056W,chrV,47168,48373,1,47117,48483,47137,46886,47012,104
YEL055C,chrV,51539,48471,-1,51594,48281,51579,51902,51741,176
YEL054C,chrV,53218,52721,-1,53245,52483,53216,53641,53429,278
YEL053C,chrV,56102,53901,-1,56148,53818,56112,56367,56240,108
YEL052W,chrV,56571,58100,1,56535,58166,56592,56367,56480,78
YEL051W,chrV,58378,59148,1,58331,59254,58380,58085,58233,148
YEL050C,chrV,60851,59670,-1,60902,59516,60865,61138,61002,126
YEL049W,chrV,63728,64090,1,63428,64090,63416,63163,63290,106
YEL048C,chrV,65167,64709,-1,65188,64709,65144,65417,65281,126
YEL047C,chrV,66797,65385,-1,66811,65305,66796,67071,66934,128
YEL046C,chrV,68792,67629,-1,68894,67506,68861,69826,69344,818
YEL044W,chrV,69757,70257,1,69740,70308,69826,68861,69344,818
YEL043W,chrV,70478,73348,1,70444,73414,70480,70156,70318,177
YEL042W,chrV,73771,75327,1,73687,75473,73666,73339,73503,180
YEL041W,chrV,75944,77431,1,75675,77756,75861,75597,75729,117
YEL040W,chrV,78053,79456,1,78037,79602,77979,77547,77763,285
YEL039C,chrV,79977,79636,-1,80125,79636,80114,80482,80298,221
YEL038W,chrV,80462,81145,1,80415,81196,80482,80114,80298,221
YEL037C,chrV,82603,81407,-1,82762,81245,82724,83033,82879,162
YEL036C,chrV,84552,83050,-1,84697,82966,84639,84942,84791,156
YEL034W,chrV,85676,86149,1,85615,86367,85717,84955,85336,615
YEL032W,chrV,86937,89852,1,86886,90004,86911,86258,86585,506
YEL031W,chrV,90258,93905,1,90227,94007,90262,89992,90127,123
YEL030W,chrV,94644,96578,1,94644,96890,94242,93952,94097,143
YEL029C,chrV,97796,96858,-1,97861,96590,97834,98120,97977,139
YEL027W,chrV,100769,101251,1,100699,101504,100787,100362,100575,278
YEL026W,chrV,101943,102323,1,101853,102394,101861,101502,101682,212
YEL024W,chrV,107260,107907,1,107199,107907,107188,106885,107037,156
YEL022W,chrV,111421,115800,1,111354,115876,111361,111085,111223,129
YEL021W,chrV,116167,116970,1,116167,117268,116151,115871,116011,133
YEL020W-A,chrV,117211,117474,1,117194,117590,117216,116927,117072,142
YEL019C,chrV,121301,120498,-1,121311,120281,121255,121525,121390,123
YEL018W,chrV,121471,122310,1,121467,122400,121525,121255,121390,123
YEL017C-A,chrV,122929,122798,-1,122959,122658,122988,123688,123338,553
YEL017W,chrV,123657,124670,1,123647,124761,123688,122988,123338,553
YEL016C,chrV,126218,124737,-1,126396,124537,126342,126632,126487,143
YEL015W,chrV,126629,128284,1,126596,128450,126632,126342,126487,143
YEL013W,chrV,128825,130561,1,128588,130735,128610,128324,128467,139
YEL012W,chrV,131772,132551,1,131677,132660,131696,131405,131551,144
YEL011W,chrV,133120,135234,1,133120,135283,132979,132730,132855,102
YEL009C,chrV,139763,138918,-1,140334,138823,139925,140292,140109,220
YEL006W,chrV,144327,145334,1,144270,145702,144310,144026,144168,137
YEL005C,chrV,146755,145907,-1,146791,145825,146714,146981,146848,120
YEL004W,chrV,146951,147979,1,146919,148312,146981,146714,146848,120
YEL003W,chrV,148176,148599,1,148167,148723,148211,147938,148075,126
YEL002C,chrV,150014,148722,-1,150064,148649,150014,150306,150160,145
YEL001C,chrV,150978,150301,-1,151005,150206,150968,151262,151115,147
YER001W,chrV,153520,155808,1,153471,155912,153349,153001,153175,201
YER002W,chrV,156803,157498,1,156754,157586,156804,156483,156644,174
YER003C,chrV,159118,157736,-1,159162,157672,159111,159383,159247,125
YER004W,chrV,159580,160275,1,159570,160529,159602,159383,159493,72
YER005W,chrV,160550,162442,1,160550,162578,160536,160212,160374,177
YER006W,chrV,162723,164285,1,162696,164379,162736,162431,162584,158
YER007W,chrV,164527,166083,1,164504,166238,164533,164321,164427,65
YER007C-A,chrV,166885,166237,-1,166925,166048,166857,167113,166985,109
YER008C,chrV,171818,167808,-1,171884,167735,171836,172128,171982,145
YER009W,chrV,172115,172492,1,172081,172666,172128,171836,171982,145
YER010C,chrV,173338,172634,-1,173367,172568,173307,173544,173426,90
YER011W,chrV,175248,176012,1,175194,176166,174988,174617,174803,224
YER012W,chrV,177835,178431,1,177773,178560,177844,177552,177698,145
YER013W,chrV,178841,182278,1,178807,182357,178815,178587,178701,81
YER014W,chrV,182600,184219,1,182569,184330,182611,182362,182487,102
YER014C-A,chrV,184700,183731,-1,184700,183731,184795,185005,184900,63
YER015W,chrV,184541,186775,1,184519,187014,184508,184245,184377,116
YER016W,chrV,188277,189311,1,188243,189429,188288,188034,188161,107
YER017C,chrV,191788,189503,-1,191869,189322,191804,192344,192074,393
YER018C,chrV,192624,191959,-1,192687,191885,192620,192902,192761,135
YER019W,chrV,192797,194230,1,192884,194319,192902,192620,192761,135
YER019C-A,chrV,194539,194273,-1,194592,194218,194548,194844,194696,149
YER020W,chrV,195168,196517,1,195074,196691,195118,194844,194981,127
YER021W,chrV,196948,198519,1,196886,198645,196972,196663,196818,162
YER022W,chrV,198812,200875,1,198776,200974,198828,198563,198696,118
YER023W,chrV,201076,201936,1,201040,202005,201093,200838,200966,108
YER024W,chrV,202192,204963,1,202192,205058,202157,201891,202024,119
YER025W,chrV,205251,206834,1,205225,207094,205254,204963,205109,144
YER026C,chrV,208474,207644,-1,208505,207515,208511,208818,208665,160
YER027C,chrV,210232,208979,-1,210304,208962,210269,210535,210402,119
YER028C,chrV,211876,210692,-1,211905,210636,211960,212359,212160,252
YER029C,chrV,213177,212587,-1,213243,212507,213181,213470,213326,142
YER030W,chrV,213437,213898,1,213429,214022,213470,213181,213326,142
YER031C,chrV,214747,214076,-1,214781,213866,214736,215038,214887,155
YER032W,chrV,215063,217693,1,215007,217883,215038,214736,214887,155
YER033C,chrV,221287,218057,-1,221287,218057,221268,221484,221376,69
YER035W,chrV,222639,223076,1,222564,223213,222660,222173,222417,340
YER036C,chrV,225199,223367,-1,225232,223261,225226,225896,225561,523
YER037W,chrV,225889,226854,1,225808,226854,225874,225226,225550,501
YER038C,chrV,228252,226858,-1,228232,226858,228210,228445,228328,88
YER039C,chrV,229205,228456,-1,229502,228320,229471,229731,229601,113
YER040W,chrV,229795,231987,1,229713,232249,229731,229471,229601,113
YER041W,chrV,232461,234740,1,232385,234902,232431,232196,232314,88
YER042W,chrV,234937,235491,1,234917,235654,234922,234646,234784,129
YER043C,chrV,237119,235770,-1,237143,235552,237159,237483,237321,177
YER044C,chrV,238016,237570,-1,238055,237445,238088,238392,238240,157
YER044C-A,chrV,239774,238460,-1,239780,238460,239763,239969,239866,59
YER045C,chrV,241501,240032,-1,241652,239910,241755,241990,241873,88
YER046W,chrV,243180,243611,1,243166,243702,243172,242916,243044,109
YER047C,chrV,246503,243810,-1,246691,243677,246634,246898,246766,117
YER048C,chrV,248157,246982,-1,248224,246861,248206,248508,248357,155
YER048W-A,chrV,250718,251002,1,250637,251336,250687,250436,250562,104
YER049W,chrV,251728,253662,1,251710,253747,251669,251393,251531,129
YER050C,chrV,254387,253971,-1,254446,253859,254416,254687,254552,124
YER051W,chrV,254656,256134,1,254640,256351,254687,254416,254552,124
YER052C,chrV,257958,256375,-1,258060,256263,258040,258351,258196,164
YER053C,chrV,259639,258737,-1,259857,258578,259617,259853,259735,89
YER055C,chrV,265785,264892,-1,265794,264809,265856,266206,266031,203
YER056C,chrV,268113,266512,-1,268200,266391,268216,268869,268543,506
YER056C-A,chrV,270185,269423,-1,270212,269344,270183,270662,270423,332
YER057C,chrV,271126,270737,-1,271169,270653,271126,271377,271252,104
YER058W,chrV,271768,272091,1,271736,272170,271782,271530,271656,105
YER059W,chrV,272624,273886,1,272463,273958,272491,272220,272356,124
YER060W,chrV,274567,276153,1,274428,276406,274469,274208,274339,114
YER061C,chrV,279626,278298,-1,279666,278236,279580,279863,279722,136
YER062C,chrV,280682,279930,-1,280748,279743,280792,281363,281078,424
YER063W,chrV,281710,282366,1,281649,282512,281681,281363,281522,171
YER065C,chrV,286914,285241,-1,287182,285124,287147,287493,287320,199
YER067W,chrV,292066,292551,1,291990,292650,291811,291545,291678,119
YER068W,chrV,293050,294813,1,292959,294924,292997,292683,292840,167
YER069W,chrV,295410,298001,1,295351,298149,295454,294970,295212,337
YER070W,chrV,298950,301616,1,298911,301827,298744,298381,298563,216
YER072W,chrV,302806,303195,1,302788,303321,302786,302508,302647,131
YER073W,chrV,304030,305592,1,303774,305865,303994,303597,303796,250
YER074W,chrV,306323,307196,1,306271,307298,306339,305880,306110,312
YER074W-A,chrV,307653,308123,1,307653,308196,307658,307400,307529,111
YER075C,chrV,311199,308413,-1,311361,308294,311365,311807,311586,295
YER078C,chrV,318342,316807,-1,318566,316736,318511,318777,318644,119
YER080W,chrV,319963,321846,1,319944,321926,319979,319720,319850,112
YER081W,chrV,322686,324095,1,322642,324273,322222,321893,322058,182
YER082C,chrV,325936,324272,-1,325976,324184,325950,326230,326090,133
YER083C,chrV,327031,326174,-1,327049,326136,327004,327280,327142,129
YER086W,chrV,328477,330207,1,328377,330346,328436,328121,328279,168
YER087W,chrV,330576,332306,1,330501,332374,330547,330334,330441,66
YER087C-B,chrV,332830,332582,-1,332870,332374,332828,333112,332970,137
YER088C,chrV,335188,333176,-1,335277,333041,335330,335839,335585,362
YER089C,chrV,337340,335946,-1,337652,335870,337601,337910,337756,162
YER090W,chrV,337949,339472,1,337856,339576,337910,337599,337755,164
YER091C,chrV,342167,339864,-1,342237,339639,342366,342899,342633,386
YER092W,chrV,342855,343232,1,342846,343487,342899,342366,342633,386
YER093C,chrV,347612,343320,-1,347711,343262,347628,347878,347753,103
YER093C-A,chrV,348400,347912,-1,348413,347783,348395,348590,348493,48
YER094C,chrV,349346,348729,-1,349456,348575,349384,349670,349527,139
YER095W,chrV,349980,351182,1,349913,351417,349935,349670,349803,118
YER096W,chrV,351698,353236,1,351698,353603,351581,351333,351457,101
YER098W,chrV,355466,357730,1,355284,357883,355322,354798,355060,377
YER099C,chrV,359061,358105,-1,359083,358035,359057,359282,359170,78
YER100W,chrV,359562,360314,1,359484,360406,359542,359282,359412,113
YER101C,chrV,361794,360502,-1,361828,360378,361794,362027,361911,86
YER102W,chrV,362733,363702,1,363088,363844,362723,362189,362456,387
YER103W,chrV,364589,366517,1,364535,366645,364454,364266,364360,41
YER104W,chrV,366802,367428,1,366761,367703,366833,366578,366706,108
YER105C,chrV,372013,367838,-1,372034,367780,371994,372299,372147,158
YER106W,chrV,372326,373234,1,372326,373463,372299,371994,372147,158
YER107C,chrV,374545,373448,-1,374721,373310,374677,374971,374824,147
YER109C,chrV,377614,375215,-1,377805,374939,377751,378028,377890,130
YER110C,chrV,382103,378762,-1,382211,378610,382202,382490,382346,141
YER111C,chrV,385876,382595,-1,386196,382436,386186,386515,386351,182
YER112W,chrV,387232,387795,1,387191,387888,387200,386833,387017,220
YER113C,chrV,390052,387932,-1,390101,387794,390167,390424,390296,110
YER114C,chrV,393712,390590,-1,394033,390258,393947,394270,394109,176
YER115C,chrV,394867,394292,-1,395116,394179,395033,395291,395162,111
YER116C,chrV,396172,395348,-1,396287,395348,396223,396761,396492,391
YER117W,chrV,396769,397653,1,396749,397716,396761,396223,396492,391
YER118C,chrV,399055,397952,-1,399235,397777,399187,399455,399321,121
YER119C,chrV,400842,399496,-1,400868,399401,400821,401147,400984,179
YER120W,chrV,401135,401869,1,401109,401971,401147,400821,400984,179
YER122C,chrV,404352,402871,-1,404433,402850,404373,404674,404524,154
YER123W,chrV,404813,406387,1,404625,406728,404674,404373,404524,154
YER124C,chrV,409063,407342,-1,409103,407001,409347,409718,409533,224
YER125W,chrV,410189,412618,1,409685,412982,409718,409347,409533,224
YER126C,chrV,414179,413394,-1,414206,413202,414219,414512,414366,146
YER127W,chrV,414481,415554,1,414469,415624,414512,414219,414366,146
YER129W,chrV,417281,420709,1,416753,420956,416800,416506,416653,147
YER131W,chrV,423591,424311,1,423536,424431,423536,423096,423316,293
YER132C,chrV,430449,425188,-1,430891,425057,430833,431114,430974,134
YER133W,chrV,432495,433958,1,432426,434185,432530,432195,432363,188
YER136W,chrV,439616,440971,1,439521,441295,439492,439190,439341,155
YER139C,chrV,451243,450563,-1,451346,450358,451299,451560,451430,114
YER141W,chrV,453459,454919,1,453396,455158,453439,453139,453289,153
YER142C,chrV,456036,455146,-1,456098,455059,456056,456311,456184,108
YER143W,chrV,456319,457605,1,456261,457704,456311,456056,456184,108
YER144C,chrV,460223,457806,-1,460232,457668,460188,460543,460366,208
YER145C,chrV,461740,460526,-1,461761,460358,461779,462211,461995,285
YER146W,chrV,462585,462866,1,462544,462961,462598,462309,462454,142
YER147C,chrV,464842,462968,-1,464882,462865,464850,465162,465006,165
YER148W,chrV,465303,466025,1,465114,466214,465162,464850,465006,165
YER149C,chrV,467470,466208,-1,467521,466130,467489,467737,467613,101
YER150W,chrV,468370,468816,1,468338,468982,468223,467861,468042,215
YER151C,chrV,472424,469686,-1,472498,469617,472459,472737,472598,131
YER152C,chrV,473988,472657,-1,474016,472620,473964,474236,474100,125
YER153C,chrV,474805,474041,-1,474812,474041,474766,475060,474913,147
YER154W,chrV,475020,476228,1,475016,476293,475060,474766,474913,147
YER155C,chrV,482848,476345,-1,482910,476196,482852,483078,482965,79
YER157W,chrV,484788,487193,1,484772,487274,484796,484579,484688,70
YER159C,chrV,491958,491530,-1,492121,491404,492025,492561,492293,389
YER161C,chrV,500348,499347,-1,500386,499076,500351,500634,500493,136
YER162C,chrV,502894,500630,-1,502929,500520,502871,503132,503002,114
YER164W,chrV,505392,509798,1,505070,509931,505097,504819,504958,131
YER165W,chrV,510373,512106,1,510223,512256,510242,509875,510059,220
YER166W,chrV,512744,517459,1,512465,517549,512527,512211,512369,169
YER167W,chrV,518216,520771,1,518192,520928,517874,517535,517705,192
YER168C,chrV,522669,521029,-1,522695,520972,522662,523168,522915,359
YER169W,chrV,523369,525759,1,523096,525962,523168,522662,522915,359
YER170W,chrV,525974,526651,1,525894,526995,525960,525695,525828,118
YER171W,chrV,527082,529418,1,526933,529547,527005,526724,526865,134
YER172C,chrV,536021,529530,-1,536068,529406,536032,536307,536170,128
YER173W,chrV,536300,538279,1,536300,538452,536307,536032,536170,128
YER174C,chrV,539168,538434,-1,539282,538344,539260,539547,539404,140
YER175C,chrV,540363,539464,-1,540382,539242,540341,540581,540461,93
YER176W,chrV,541690,545055,1,541648,545169,541702,541396,541549,159
YER177W,chrV,545611,546414,1,545572,546584,545664,545026,545345,491
YER178W,chrV,546817,548079,1,546789,548213,546820,546551,546686,122
YER179W,chrV,548421,549517,1,548421,549517,548366,548141,548254,78
YER180C-A,chrV,551122,550865,-1,551170,550865,551106,551509,551308,256
YER183C,chrV,553969,553334,-1,553970,553242,553925,554177,554051,105
YER185W,chrV,559454,560365,1,559454,560429,559365,559060,559213,158
YER190W,chrV,571480,576525,1,570764,576862,570828,570272,570550,409
